Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_YYYY-MM-DD,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Prod_Merc_Positions_Long_All,Prod_Merc_Positions_Short_All,Swap_Positions_Long_All,Swap__Positions_Short_All,Swap__Positions_Spread_All,M_Money_Positions_Long_All,M_Money_Positions_Short_All,M_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,Prod_Merc_Positions_Long_Old,Prod_Merc_Positions_Short_Old,Swap_Positions_Long_Old,Swap__Positions_Short_Old,Swap__Positions_Spread_Old,M_Money_Positions_Long_Old,M_Money_Positions_Short_Old,M_Money_Positions_Spread_Old,Other_Rept_Positions_Long_Old,Other_Rept_Positions_Short_Old,Other_Rept_Positions_Spread_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,Prod_Merc_Positions_Long_Other,Prod_Merc_Positions_Short_Other,Swap_Positions_Long_Other,Swap__Positions_Short_Other,Swap__Positions_Spread_Other,M_Money_Positions_Long_Other,M_Money_Positions_Short_Other,M_Money_Positions_Spread_Other,Other_Rept_Positions_Long_Other,Other_Rept_Positions_Short_Other,Other_Rept_Positions_Spread_Other,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_Prod_Merc_Long_All,Change_in_Prod_Merc_Short_All,Change_in_Swap_Long_All,Change_in_Swap_Short_All,Change_in_Swap_Spread_All,Change_in_M_Money_Long_All,Change_in_M_Money_Short_All,Change_in_M_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Prod_Merc_Long_All,Pct_of_OI_Prod_Merc_Short_All,Pct_of_OI_Swap_Long_All,Pct_of_OI_Swap_Short_All,Pct_of_OI_Swap_Spread_All,Pct_of_OI_M_Money_Long_All,Pct_of_OI_M_Money_Short_All,Pct_of_OI_M_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_Prod_Merc_Long_Old,Pct_of_OI_Prod_Merc_Short_Old,Pct_of_OI_Swap_Long_Old,Pct_of_OI_Swap_Short_Old,Pct_of_OI_Swap_Spread_Old,Pct_of_OI_M_Money_Long_Old,Pct_of_OI_M_Money_Short_Old,Pct_of_OI_M_Money_Spread_Old,Pct_of_OI_Other_Rept_Long_Old,Pct_of_OI_Other_Rept_Short_Old,Pct_of_OI_Other_Rept_Spread_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_Prod_Merc_Long_Other,Pct_of_OI_Prod_Merc_Short_Other,Pct_of_OI_Swap_Long_Other,Pct_of_OI_Swap_Short_Other,Pct_of_OI_Swap_Spread_Other,Pct_of_OI_M_Money_Long_Other,Pct_of_OI_M_Money_Short_Other,Pct_of_OI_M_Money_Spread_Other,Pct_of_OI_Other_Rept_Long_Other,Pct_of_OI_Other_Rept_Short_Other,Pct_of_OI_Other_Rept_Spread_Other,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_Prod_Merc_Long_All,Traders_Prod_Merc_Short_All,Traders_Swap_Long_All,Traders_Swap_Short_All,Traders_Swap_Spread_All,Traders_M_Money_Long_All,Traders_M_Money_Short_All,Traders_M_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_Prod_Merc_Long_Old,Traders_Prod_Merc_Short_Old,Traders_Swap_Long_Old,Traders_Swap_Short_Old,Traders_Swap_Spread_Old,Traders_M_Money_Long_Old,Traders_M_Money_Short_Old,Traders_M_Money_Spread_Old,Traders_Other_Rept_Long_Old,Traders_Other_Rept_Short_Old,Traders_Other_Rept_Spread_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_Prod_Merc_Long_Other,Traders_Prod_Merc_Short_Other,Traders_Swap_Long_Other,Traders_Swap_Short_Other,Traders_Swap_Spread_Other,Traders_M_Money_Long_Other,Traders_M_Money_Short_Other,Traders_M_Money_Spread_Other,Traders_Other_Rept_Long_Other,Traders_Other_Rept_Short_Other,Traders_Other_Rept_Spread_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units,CFTC_Contract_Market_Code_Quotes,CFTC_Market_Code_Quotes,CFTC_Commodity_Code_Quotes,CFTC_SubGroup_Code,FutOnly_or_Combined,Net_Commercial,Net_Managed_Money,Net_Large_Spec,Net_Small_Spec
GOLD - COMMODITY EXCHANGE INC.,60613,2006-06-13,088691,CMX,1,88,288981,27041,117483,19940,63899,4718,99739,29859,36029,39027,9620,15855,242349,277463,46632,11518,288981,27041,117483,19940,63899,4718,99739,29859,36029,39027,9620,15855,242349,277463,46632,11518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100.0,9.4,40.7,6.9,22.1,1.6,34.5,10.3,12.5,13.5,3.3,5.5,83.9,96.0,16.1,4.0,100.0,9.4,40.7,6.9,22.1,1.6,34.5,10.3,12.5,13.5,3.3,5.5,83.9,96.0,16.1,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225,     20,     26,      9,     11,     10,     60,     15,     14,     76,     20,     25,190,98,    225,     20,     26,      9,     11,     10,     60,     15,     14,     76,     20,     25,    190,     98,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,32.2,42.5,41.7,61.2,19.7,34.2,26.4,44.7,32.2,42.5,41.7,61.2,19.7,34.2,26.4,44.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX,88,N20,FutOnly,-134401,69880,29407,35114
GOLD - COMMODITY EXCHANGE INC.,60620,2006-06-20,088691,CMX,1,88,288148,29230,112900,23091,61692,6492,91198,30082,37444,40666,11561,15456,243577,275627,44571,12521,288148,29230,112900,23091,61692,6492,91198,30082,37444,40666,11561,15456,243577,275627,44571,12521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    -833,    2189,   -4583,    3151,   -2207,    1774,   -8541,     223,    1415,    1639,    1941,    -399,    1228,   -1836,   -2061,    1003,100.0,10.1,39.2,8.0,21.4,2.3,31.6,10.4,13.0,14.1,4.0,5.4,84.5,95.7,15.5,4.3,100.0,10.1,39.2,8.0,21.4,2.3,31.6,10.4,13.0,14.1,4.0,5.4,84.5,95.7,15.5,4.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218,     21,     23,      9,     11,      8,     50,     16,     13,     77,     24,     29,183,99,    218,     21,     23,      9,     11,      8,     50,     16,     13,     77,     24,     29,    183,     99,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,33.6,42.0,43.0,61.1,21.0,33.6,27.4,44.2,33.6,42.0,43.0,61.1,21.0,33.6,27.4,44.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX,88,N20,FutOnly,-122271,61116,29105,32050
GOLD - COMMODITY EXCHANGE INC.,60627,2006-06-27,088691,CMX,1,88,292789,30747,110141,23112,59959,7236,88635,31420,39027,39675,11266,16530,244962,275579,47827,17210,292789,30747,110141,23112,59959,7236,88635,31420,39027,39675,11266,16530,244962,275579,47827,17210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    4641,    1517,   -2759,      21,   -1733,     744,   -2563,    1338,    1583,    -991,    -295,    1074,    1385,     -48,    3256,    4689,100.0,10.5,37.6,7.9,20.5,2.5,30.3,10.7,13.3,13.6,3.8,5.6,83.7,94.1,16.3,5.9,100.0,10.5,37.6,7.9,20.5,2.5,30.3,10.7,13.3,13.6,3.8,5.6,83.7,94.1,16.3,5.9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211,     21,     23,      8,     11,     10,     45,     20,     13,     75,     21,     29,175,101,    211,     21,     23,      8,     11,     10,     45,     20,     13,     75,     21,     29,    175,    101,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,33.3,41.9,42.9,59.9,20.7,32.2,27.0,42.1,33.3,41.9,42.9,59.9,20.7,32.2,27.0,42.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX,88,N20,FutOnly,-116241,57215,28409,30617
GOLD - COMMODITY EXCHANGE INC.,60703,2006-07-03,088691,CMX,1,88,292500,29615,108909,23735,66608,6752,90104,30778,39901,41082,8488,16457,247646,277893,44854,14607,292500,29615,108909,23735,66608,6752,90104,30778,39901,41082,8488,16457,247646,277893,44854,14607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    -289,   -1132,   -1232,     623,    6649,    -484,    1469,    -642,     874,    1407,   -2778,     -73,    2684,    2314,   -2973,   -2603,100.0,10.1,37.2,8.1,22.8,2.3,30.8,10.5,13.6,14.0,2.9,5.6,84.7,95.0,15.3,5.0,100.0,10.1,37.2,8.1,22.8,2.3,30.8,10.5,13.6,14.0,2.9,5.6,84.7,95.0,15.3,5.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214,     19,     21,      8,     11,      9,     47,     20,     10,     78,     20,     32,175,102,    214,     19,     21,      8,     11,      9,     47,     20,     10,     78,     20,     32,    175,    102,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,34.1,42.5,43.5,60.5,21.1,32.3,27.6,43.1,34.1,42.5,43.5,60.5,21.1,32.3,27.6,43.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX,88,N20,FutOnly,-122167,59326,32594,30247
GOLD - COMMODITY EXCHANGE INC.,60711,2006-07-11,088691,CMX,1,88,312684,34094,114612,23173,74702,7141,101019,29135,43286,41175,11130,17918,267806,297924,44878,14760,312684,34094,114612,23173,74702,7141,101019,29135,43286,41175,11130,17918,267806,297924,44878,14760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,   20184,    4479,    5703,    -562,    8094,     389,   10915,   -1643,    3385,      93,    2642,    1461,   20160,   20031,      24,     153,100.0,10.9,36.7,7.4,23.9,2.3,32.3,9.3,13.8,13.2,3.6,5.7,85.6,95.3,14.4,4.7,100.0,10.9,36.7,7.4,23.9,2.3,32.3,9.3,13.8,13.2,3.6,5.7,85.6,95.3,14.4,4.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227,     22,     25,      9,     12,      8,     54,     17,      9,     72,     28,     33,188,103,    227,     22,     25,      9,     12,      8,     54,     17,      9,     72,     28,     33,    188,    103,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,33.8,42.7,42.8,60.1,20.1,31.1,26.5,41.8,33.8,42.7,42.8,60.1,20.1,31.1,26.5,41.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX,88,N20,FutOnly,-132047,71884,30045,30118
GOLD - COMMODITY EXCHANGE INC.,60718,2006-07-18,088691,CMX,1,88,324276,30100,115518,24180,78853,9689,105068,25797,48551,38134,10031,18797,274519,307236,49757,17040,324276,30100,115518,24180,78853,9689,105068,25797,48551,38134,10031,18797,274519,307236,49757,17040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,   11592,   -3994,     906,    1007,    4151,    2548,    4049,   -3338,    5265,   -3041,   -1099,     879,    6713,    9312,    4879,    2280,100.0,9.3,35.6,7.5,24.3,3.0,32.4,8.0,15.0,11.8,3.1,5.8,84.7,94.7,15.3,5.3,100.0,9.3,35.6,7.5,24.3,3.0,32.4,8.0,15.0,11.8,3.1,5.8,84.7,94.7,15.3,5.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227,     24,     25,      8,     13,      9,     52,     21,     16,     75,     24,     35,193,111,    227,     24,     25,      8,     13,      9,     52,     21,     16,     75,     24,     35,    193,    111,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,33.6,42.5,42.8,60.5,19.5,30.9,25.6,42.2,33.6,42.5,42.8,60.5,19.5,30.9,25.6,42.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX,88,N20,FutOnly,-140091,79271,28103,32717
GOLD - COMMODITY EXCHANGE INC.,60725,2006-07-25,088691,CMX,1,88,315635,34473,118546,25497,80913,5491,96891,23984,50371,35377,6729,19696,267796,305730,47839,9905,315635,34473,118546,25497,80913,5491,96891,23984,50371,35377,6729,19696,267796,305730,47839,9905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,   -8641,    4373,    3028,    1317,    2060,   -4198,   -8177,   -1813,    1820,   -2757,   -3302,     899,   -6723,   -1506,   -1918,   -7135,100.0,10.9,37.6,8.1,25.6,1.7,30.7,7.6,16.0,11.2,2.1,6.2,84.8,96.9,15.2,3.1,100.0,10.9,37.6,8.1,25.6,1.7,30.7,7.6,16.0,11.2,2.1,6.2,84.8,96.9,15.2,3.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225,     25,     24,      9,     13,      9,     53,     17,     16,     73,     26,     33,191,109,    225,     25,     24,      9,     13,      9,     53,     17,     16,     73,     26,     33,    191,    109,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,35.5,44.5,43.7,63.3,19.3,31.5,25.1,44.4,35.5,44.5,43.7,63.3,19.3,31.5,25.1,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX,88,N20,FutOnly,-139489,72907,28648,37934
GOLD - COMMODITY EXCHANGE INC.,60801,2006-08-01,088691,CMX,1,88,304907,29814,123870,25970,70347,4082,95785,25176,46373,36996,4844,16251,255271,290943,49636,13964,304907,29814,123870,25970,70347,4082,95785,25176,46373,36996,4844,16251,255271,290943,49636,13964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  -10728,   -4659,    5324,     473,  -10566,   -1409,   -1106,    1192,   -3998,    1619,   -1885,   -3445,  -12525,  -14787,    1797,    4059,100.0,9.8,40.6,8.5,23.1,1.3,31.4,8.3,15.2,12.1,1.6,5.3,83.7,95.4,16.3,4.6,100.0,9.8,40.6,8.5,23.1,1.3,31.4,8.3,15.2,12.1,1.6,5.3,83.7,95.4,16.3,4.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208,     16,     22,      9,     12,      9,     56,     16,     11,     69,     19,     28,178,90,    208,     16,     22,      9,     12,      9,     56,     16,     11,     69,     19,     28,    178,     90,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,36.4,45.2,44.7,64.5,19.3,32.6,25.0,44.7,36.4,45.2,44.7,64.5,19.3,32.6,25.0,44.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX,88,N20,FutOnly,-138433,70609,32152,35672
GOLD - COMMODITY EXCHANGE INC.,60808,2006-08-08,088691,CMX,1,88,309097,30425,129179,25992,69163,3841,100994,26676,47031,37977,6197,15622,261882,297709,47215,11388,309097,30425,129179,25992,69163,3841,100994,26676,47031,37977,6197,15622,261882,297709,47215,11388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    4190,     611,    5309,      22,   -1184,    -241,    5209,    1500,     658,     981,    1353,    -629,    6611,    6766,   -2421,   -2576,100.0,9.8,41.8,8.4,22.4,1.2,32.7,8.6,15.2,12.3,2.0,5.1,84.7,96.3,15.3,3.7,100.0,9.8,41.8,8.4,22.4,1.2,32.7,8.6,15.2,12.3,2.0,5.1,84.7,96.3,15.3,3.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216,     18,     23,      9,     12,      9,     59,     15,     11,     69,     23,     28,183,94,    216,     18,     23,      9,     12,      9,     59,     15,     11,     69,     23,     28,    183,     94,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,36.0,45.9,44.1,64.5,19.0,32.8,25.3,45.0,36.0,45.9,44.1,64.5,19.0,32.8,25.3,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX,88,N20,FutOnly,-141925,74318,31780,35827
GOLD - COMMODITY EXCHANGE INC.,60815,2006-08-15,088691,CMX,1,88,313327,31132,126778,25404,64887,4866,94115,26225,49414,37904,5250,15879,258714,293299,54613,20028,313327,31132,126778,25404,64887,4866,94115,26225,49414,37904,5250,15879,258714,293299,54613,20028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    4230,     707,   -2401,    -588,   -4276,    1025,   -6879,    -451,    2383,     -73,    -947,     257,   -3168,   -4410,    7398,    8640,100.0,9.9,40.5,8.1,20.7,1.6,30.0,8.4,15.8,12.1,1.7,5.1,82.6,93.6,17.4,6.4,100.0,9.9,40.5,8.1,20.7,1.6,30.0,8.4,15.8,12.1,1.7,5.1,82.6,93.6,17.4,6.4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219,     19,     23,      9,     10,     11,     60,     16,     13,     75,     18,     29,190,96,    219,     19,     23,      9,     10,     11,     60,     16,     13,     75,     18,     29,    190,     96,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,35.9,46.2,43.7,64.0,18.1,31.5,23.5,43.5,35.9,46.2,43.7,64.0,18.1,31.5,23.5,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX,88,N20,FutOnly,-135129,67890,32654,34585
