Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2001-02-26,376.7721888286795,396.37424684550564,376.7721888286795,394.6547546386719,13755,0.0,0.0,0.0
2001-02-27,394.10341501252213,398.5067780980883,390.80087254122793,395.41064453125,5730,0.206667,0.0,0.0
2001-02-28,390.8225016643865,393.0243050606366,382.9097089745173,385.52435302734375,4380,0.033333,0.0,0.0
2001-03-01,389.0337440832906,392.81813259529497,385.11175537109375,385.11175537109375,1995,0.0,0.0,0.0
2001-03-02,390.82239645618154,401.6250305175781,390.82239645618154,401.6250305175781,6705,0.0,0.0,0.0
2001-03-05,400.9371279817347,411.73976576570186,400.9371279817347,408.918701171875,10560,0.0,0.0,0.0
2001-03-06,406.37276764710566,416.1433423650003,405.75350672096727,415.45526123046875,1950,0.0,0.0,0.0
2001-03-07,419.6527007777472,429.3544602153046,417.1756558149666,428.7351989746094,25410,0.0,0.0,0.0
2001-03-08,431.00551989992346,433.55138331260906,422.47346871085,429.7669982910156,22590,0.0,0.0,0.0
2001-03-09,435.2713201030397,435.2713201030397,421.44116865790653,423.2989501953125,41505,0.0,0.0,0.0
2001-03-12,418.34504174561357,421.71658605680693,410.9139124758901,411.7395935058594,14490,0.0,0.0,0.0
2001-03-13,406.0289465294219,408.64359161764247,395.43268537570907,399.8363342285156,95775,0.0,0.0,0.0
2001-03-14,395.63890951673136,406.7856061286965,388.55183916578045,393.3682861328125,21165,0.0,0.0,0.0
2001-03-15,394.1254278668771,394.1254278668771,378.7126752853263,379.4007568359375,25545,0.0,0.0,0.0
2001-03-16,380.91444198211303,387.51989450020466,373.8961486816406,373.8961486816406,96855,0.0,0.0,0.0
2001-03-19,377.405149169353,390.2719883594584,377.405149169353,386.21240234375,46560,0.0,0.0,0.0
2001-03-20,391.92321182974916,400.592861826912,390.0654296875,390.0654296875,35370,0.0,0.0,0.0
2001-03-21,389.72168498938464,389.72168498938464,379.4006657894539,380.9144287109375,5730,0.0,0.0,0.0
2001-03-22,372.10713898209417,372.10713898209417,358.0017726929055,371.4190979003906,25320,0.0,0.0,0.0
2001-03-23,368.80424890400826,385.31787259100065,366.80886614731804,377.6115417480469,24525,0.0,0.0,0.0
2001-03-26,389.7220368360546,389.7220368360546,380.02027002922483,386.0752868652344,16575,0.0,0.0,0.0
2001-03-27,383.5287875048246,384.010448147182,374.30869733301256,378.0242614746094,22065,0.0,0.0,0.0
2001-03-28,372.46396288205216,374.73466495698494,363.72518691196234,364.75732421875,17100,0.02,0.0,0.0
2001-03-29,357.60125778465675,357.60125778465675,347.07345513219553,349.2065124511719,36195,0.0,0.0,0.0
2001-03-30,356.9133533253911,359.8033399919934,354.0921893044345,355.2619323730469,16545,0.0,0.0,0.0
2001-04-02,351.4086943259501,351.4086943259501,335.44494210346903,337.853271484375,40830,0.0,0.0,0.0
2001-04-03,339.9861184723523,342.39442605037164,322.7838322112071,323.6783447265625,31905,0.0,0.0,0.0
2001-04-04,329.87093480428064,341.706117368789,329.87093480428064,336.88946533203125,30885,0.0,0.0,0.0
2001-04-05,337.3026229857609,354.5049325789593,336.33928768149525,351.2708740234375,32220,0.0,0.0,0.0
2001-04-06,345.1467222880347,355.7433456221309,339.29793066005385,350.9955139160156,3660,0.0,0.0,0.0
2001-04-09,359.12918971261445,364.41373921019846,355.8263462766245,360.4943542480469,15390,0.0,0.0,0.0
2001-04-10,363.4887162203106,371.10726528742134,357.98399379051085,369.0375061035156,27390,0.0,0.0,0.0
2001-04-11,371.0195948848898,373.44165429463766,362.6523742675781,362.6523742675781,36630,0.0,0.0,0.0
2001-04-12,366.61543122226965,371.76785624613933,365.3823891274693,367.4521484375,8400,0.0,0.0,0.0
2001-04-16,368.59692545140047,374.7622130351927,368.59692545140047,372.5603332519531,12885,0.0,0.0,0.0
2001-04-17,373.00082473078254,378.7257217563157,369.2135646909678,378.2853698730469,11085,0.0,0.0,0.0
2001-04-18,375.42274100075485,381.41191949432636,366.8353583478741,368.156494140625,31965,0.0,0.0,0.0
2001-04-19,368.50887581031685,368.50887581031685,355.82600155743467,356.8388671875,26115,0.0,0.0,0.0
2001-04-20,360.0097426452542,367.9365626668011,360.0097426452542,365.51446533203125,19440,0.0,0.0,0.0
2001-04-23,374.32213014724687,379.95897547018797,372.560600864616,377.2726745605469,17250,0.0,0.0,0.0
2001-04-24,383.1294606421635,384.3625021602572,373.2649672259209,376.92010498046875,23325,0.0,0.0,0.0
2001-04-25,375.863364938029,384.7149963378906,371.67977911908156,384.7149963378906,9060,0.0,0.0,0.0
2001-04-26,399.07113749974764,407.3942775667536,398.76286707980404,404.4877624511719,36585,0.0,0.0,0.0
2001-04-27,404.32930985724136,404.9899786641976,400.40933084956106,400.6736145019531,22125,0.093333,0.0,0.0
2001-04-30,398.60342430441466,413.1381352940388,398.60342430441466,408.6015625,16770,0.0,0.0,0.0
2001-05-01,406.0912297415144,406.0912297415144,398.29530319973344,400.8058776855469,46770,0.0,0.0,0.0
2001-05-02,381.20603640222765,384.0689221366349,373.8505689327924,375.480224609375,39300,0.0,0.0,0.0
2001-05-03,380.4319953564566,380.4319953564566,368.53661201933323,374.96893310546875,50715,0.16,0.0,0.0
2001-05-04,378.89002981191834,385.05803415053646,374.96898801329814,383.0754699707031,30630,0.0,0.0,0.0
2001-05-07,389.46349280438164,389.90407582670343,373.82329970382597,376.5548095703125,80595,0.0,0.0,0.0
2001-05-08,373.6032039214072,377.1718356931376,369.1975324936542,375.7619934082031,16185,0.0,0.0,0.0
2001-05-09,381.0929501759098,384.4853166554167,379.77124056875095,384.2650451660156,29145,0.0,0.0,0.0
2001-05-10,381.3134441277007,385.3667081108813,378.89029498909275,381.2253112792969,48615,0.0,0.0,0.0
2001-05-11,378.89021346987084,378.89021346987084,374.7929444471261,376.1146545410156,9180,0.0,0.0,0.0
2001-05-14,379.9913134387219,387.65720901916967,379.9913134387219,386.82012939453125,8940,0.0,0.0,0.0
2001-05-15,389.90432454673476,397.74644920031886,389.90432454673476,397.2177734375,12255,0.0,0.0,0.0
2001-05-16,396.1164828772779,402.59285347900715,395.411541334043,400.52215576171875,34530,0.0,0.0,0.0
2001-05-17,402.01991765526463,414.1356137019605,397.61424667043775,413.82720947265625,41535,0.0,0.0,0.0
2001-05-18,414.13609703430234,423.12371505462426,413.25492954064396,417.2200622558594,81945,0.0,0.0,0.0
2001-05-21,418.9816399159574,421.0963818122555,413.95916320567767,420.9642028808594,94125,0.0,0.0,0.0
2001-05-22,420.5675483228006,420.5675483228006,412.81352450815456,414.5757751464844,55755,0.0,0.0,0.0
2001-05-23,409.72974505641,409.72974505641,398.80362389961954,399.0238952636719,102360,0.0,0.0,0.0
2001-05-24,399.02372309511134,399.02372309511134,388.5381895260191,390.520751953125,84495,0.0,0.0,0.0
2001-05-25,394.75076780486853,402.06426051892345,394.1339992884547,396.5130615234375,19800,0.0,0.0,0.0
2001-05-29,400.9188491092472,401.27129985045883,391.22629238432154,392.98858642578125,34200,0.0,0.0,0.0
2001-05-30,387.7233940898574,387.7233940898574,378.9114721834522,384.4629821777344,50895,0.033333,0.0,0.0
2001-05-31,385.0797715516264,391.90897578382027,378.9114190151463,390.4990539550781,10845,0.0,0.0,0.0
2001-06-01,392.58329670357114,392.58329670357114,384.7845120085786,387.7366027832031,3195,0.02,0.0,0.0
2001-06-04,399.63506951902133,402.5006541093283,395.8437135865939,396.68133544921875,103875,0.326667,0.0,0.0
2001-06-05,390.0683201404315,400.0316685237078,390.0683201404315,396.98974609375,35160,0.0,0.0,0.0
2001-06-06,384.2050592973865,385.04268094702906,376.9309531833224,377.1513671875,22890,0.0,0.0,0.0
2001-06-07,373.6595916787717,377.05451182082084,367.0461475782625,367.9720458984375,16845,0.053333,0.0,0.0
2001-06-08,368.1483294695004,371.23457586723805,363.7393541459805,370.22052001953125,55590,0.0,0.0,0.0
2001-06-11,372.33705257381405,374.7178772612131,364.4449953431079,367.0462951660156,21165,0.0,0.0,0.0
2001-06-12,367.04630282416906,374.14473851875397,366.38495813439573,372.5574951171875,27390,0.0,0.0,0.0
2001-06-13,380.9345058854399,386.1370647907295,370.6616247082971,371.98431396484375,26760,0.0,0.0,0.0
2001-06-14,365.0620897238975,370.39692350772657,363.7394009930138,364.44482421875,44985,0.0,0.0,0.0
2001-06-15,366.8256711015221,371.10236984794363,364.75344001567936,365.06207275390625,43755,0.0,0.0,0.0
2001-06-18,359.33036339887,367.4428501975622,358.7572172176919,359.6830749511719,42615,0.0,0.0,0.0
2001-06-19,360.653207937366,360.653207937366,352.1439270521504,355.9356384277344,27630,0.0,0.0,0.0
2001-06-20,349.1898193359375,361.53492741401055,349.1898193359375,349.1898193359375,17190,0.0,0.0,0.0
2001-06-21,349.1898144388232,350.7329377899702,328.95267342913854,334.9929504394531,167805,0.0,0.0,0.0
2001-06-22,334.6400121103419,340.15119780069307,325.2048418643856,333.9786682128906,137505,0.0,0.0,0.0
